38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Buah-buahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpukat (Ton),,,Belimbing (Ton),,,Duku/Langsat/Kokosan (Ton),,,Durian (Ton),,,Jambu Biji (Ton),,,Jambu Air (Ton),,,Jeruk Siam/Keprok (Ton),,,Jeruk Besar (Ton),,,Mangga (Ton),,,Manggis (Ton),,,Nangka/Cempedak (Ton),,,Nenas (Ton),,,Pepaya (Ton),,,Pisang (Ton),,,Rambutan (Ton),,,Salak (Ton),,,Sawo (Ton),,,Sirsak (Ton),,,Sukun (Ton),,,Melon (Ton),,,Semangka (Ton),,,Apel (Ton),,,Anggur (Ton),,,Stroberi (Ton),,
JAWA TENGAH,75707,130029,143795,18878,20987,21298,15125,15122,12438,159199,181713,197963,111674,91293,109989,46212,66007,64826,22884,34947,35319,17829,23959,19343,457674,505800,575269,8784,6809,38867,159155,153633,156333,344852,336102,282633,142034,121173,125866,804262,999739,918852,121619,134509,146428,432097,482423,245105,21463,22675,21378,22131,18493,15827,36782,35188,39235,24135,26231,23086,57953,59837,66456,22,41,7,105,260,206,1165,1303,608
DI YOGYAKARTA,10931,11502,11735,667,946,1004,2596,3760,2607,9258,8849,13602,4849,6702,9225,4944,3004,3794,2726,2450,2939,118,53,264,33456,27066,37532,2782,2827,3816,15238,15010,20240,566,665,789,14653,16084,18088,68257,78045,78534,16286,15999,22544,57296,54498,51841,3906,2302,5970,1506,1184,2474,8359,6809,9745,14550,7001,10885,5184,8298,11940,-,0,-,21,30,28,1,44,26
JAWA TIMUR,158581,183258,186433,75970,64856,59698,16407,20028,12461,275319,419913,488356,83404,117919,79798,23092,26716,28094,822260,1076813,1406415,29177,57257,29867,1192896,1593494,1488890,31677,81362,84244,182741,176077,155007,198773,357505,435679,253700,250325,349998,2048948,2626582,2807038,123200,155450,129998,210587,199625,385831,18529,19721,17664,24475,33307,35917,25542,29370,17059,68527,62287,59246,138245,97357,107902,509367,523326,392173,775,376,201,838,1085,209
BANTEN,1444,2403,1860,1449,1340,651,2023,4596,3796,29456,28161,86677,5164,5765,3200,4857,7508,3777,975,724,555,69,67,6,22713,43346,43819,4934,4761,16486,5930,6629,5258,388,344,115,19840,15325,12646,284683,293383,276434,31396,38545,22286,921,1985,577,2295,2872,1646,3948,3223,1753,7667,8145,5861,169,290,298,837,513,1502,-,0,-,8,9,39,6,17,15
BALI,5123,3325,3764,477,400,593,2478,1803,732,25743,21908,39041,3637,3216,5398,1437,753,692,240636,134681,130688,981,391,476,55166,49139,52075,24820,9876,21566,27931,22393,20709,630,446,385,12554,11326,16121,382536,215647,147924,23367,19107,14978,27080,26377,27056,3242,3084,3114,254,252,215,330,191,190,202,218,153,12818,24562,19326,1,5,1,10234,11938,11904,291,196,348
NUSA TENGGARA BARAT,8889,5145,6090,724,566,559,1090,309,399,40084,32108,35194,20629,15168,13119,3160,2941,4948,5454,8935,4706,829,634,680,131394,163485,186695,24850,16778,18081,55821,64486,62357,83463,135162,25521,22918,17195,13079,118234,125590,87663,25074,12911,16020,105,66,102,13128,14151,16306,49039,26701,27167,810,505,592,2668,1689,2317,21866,7601,17037,18,0,14,852,384,546,43,245,74
NUSA TENGGARA TIMUR,34638,22382,14085,664,718,374,15,7,64,3714,4430,3844,15167,10899,6482,1696,2597,1120,56817,46474,16358,1846,1675,1906,87304,81997,38767,18,54,8,26673,26890,14941,11241,11541,23234,103647,109094,116321,256741,230535,211621,7889,6172,8248,2472,3155,3089,1040,1488,697,4552,4177,3840,3086,4793,2177,444,356,141,2022,1837,1587,36,64,95,7,17,12,162,80,153
KALIMANTAN BARAT,1667,2194,3887,1355,1188,1316,8677,7422,7901,37188,22906,53841,3343,6751,7221,3327,3218,3754,72557,118987,110934,371,312,335,10768,8058,8735,8542,7303,3154,12819,8610,10604,119471,87868,129704,14265,16778,17488,140634,134097,147474,18511,12111,19294,1900,1869,2709,5880,3890,2822,2256,1733,1804,2526,2237,1952,567,372,502,4532,5862,4987,-,0,-,-,29,11,-,0,-
KALIMANTAN TENGAH,895,773,1203,1627,997,857,882,398,1505,8239,4479,11413,4589,3774,3980,3223,2355,1750,9463,5735,4576,183,166,121,2690,2400,3535,602,280,559,15520,9308,11974,15313,10342,11130,6658,5560,5496,44578,41303,40908,14924,9227,20215,1312,782,1044,1915,1228,1327,1283,776,1185,2333,935,988,762,375,332,14833,11345,12164,-,0,-,-,25,10,312,0,-
KALIMANTAN SELATAN,58,33,87,764,583,566,7285,1473,7563,28825,8136,38178,2246,1829,1755,994,887,901,113194,115360,123937,376,261,301,7298,4492,6571,1440,433,1329,28859,13930,31782,14307,15620,14756,8493,5028,6261,65485,74123,65842,17915,11459,13640,1416,479,730,1550,1340,1438,1264,1668,1374,3639,1872,1577,1148,870,727,18830,3526,19250,-,0,-,-,0,1,-,0,-
KALIMANTAN TIMUR,674,638,1042,948,1267,2165,3605,3998,8359,13440,8773,20821,2140,1466,2029,1360,1229,1956,11301,7755,8396,292,205,246,5133,3010,4758,131,342,470,32819,8364,11834,55171,36641,24867,24068,13674,29442,130656,127562,156132,11329,10703,16334,7508,6841,6756,1809,1352,1519,1046,829,776,1897,1028,1357,468,470,832,4047,3665,6030,-,0,-,-,0,1,-,0,-
KALIMANTAN UTARA,85,57,25,285,168,195,6001,3317,1682,8436,5181,5017,416,392,306,754,539,581,7046,4561,3303,98,12,3,8614,6366,7260,103,101,39,21788,23332,21292,859,1018,788,34593,23203,24042,110526,89565,77430,13789,5129,3276,5664,4273,4227,104,68,58,595,361,191,651,613,551,440,920,399,1456,2496,2411,-,0,-,1,1,-,-,0,-
SULAWESI UTARA,8697,5911,5672,636,432,439,3958,3130,5705,18327,13592,22413,4235,3288,1745,1478,969,924,1172,742,571,52,27,23,23199,13071,10403,3200,2099,2906,7132,3013,2627,2101,4855,557,22324,17378,21278,100298,81126,39606,16551,5609,6837,3064,2674,2822,-,0,-,2951,1260,1333,1103,370,284,753,940,1543,743,1176,1978,-,0,-,-,2,3,-,0,2425
SULAWESI TENGAH,10478,5282,5218,317,247,288,4796,5930,7008,41273,56326,74326,776,931,920,894,1592,1252,2235,2797,5417,66,156,145,12802,14430,16061,1826,2278,2357,4628,5537,4455,1164,13260,31381,7307,7137,7911,27378,20845,23047,9872,11036,10150,787,785,1531,261,117,104,398,552,675,470,398,786,1296,1599,1666,3798,4058,4222,-,0,-,40,65,69,1,1,53
SULAWESI SELATAN,8972,8233,7132,598,367,369,12789,16274,21549,34070,59759,88969,11139,15877,10956,2194,2027,2132,9315,11569,9832,41330,29372,20592,116175,104092,107972,3330,3065,4773,26499,21888,19147,2132,2435,6475,25571,29526,28246,161550,177727,168284,28493,39422,38431,10856,11981,9438,500,555,1809,2138,1881,1958,15074,13693,13090,468,981,1103,6335,6247,8486,-,0,-,1,6,49,66,14,13
SULAWESI TENGGARA,1093,1007,852,330,549,380,1624,2134,5914,12886,23745,14097,1398,1883,1915,1423,1442,1500,22220,19927,10483,408,632,491,12405,10474,26690,789,2055,615,6238,9585,6273,9073,14933,23003,10503,15258,14599,41610,49496,41136,8300,13785,25499,1050,1411,846,302,181,171,968,1014,976,1867,2237,3609,324,205,161,1190,1253,2346,-,0,-,17,80,7,13,11,3
GORONTALO,24,73,88,12,13,17,54,93,48,4381,4593,6246,19,16,54,-,9,9,23305,23452,24332,119,103,91,1900,3746,2080,-,0,1,942,888,825,92,142,160,1209,579,744,6938,4689,6156,1828,1300,1391,9,19,27,-,1,2,4,9,8,8,8,12,89,0,-,136,174,301,-,0,-,-,0,-,-,0,-
SULAWESI BARAT,312,333,633,100,109,157,4223,7324,15501,14653,23926,42940,415,264,474,325,310,428,18933,21500,16717,99,289,285,10548,23656,58646,1685,242,300,3000,4748,4886,430,3738,3093,5210,7159,9856,77487,144785,184574,4382,6832,7847,84,85,221,67,47,28,143,256,230,793,2003,1405,2,65,9,164,156,246,-,0,-,-,0,-,-,0,-
MALUKU,2143,1255,727,556,481,330,1675,1554,908,8091,6020,4924,1188,1556,641,1123,992,603,12029,7031,8351,343,412,252,7542,4723,5624,923,698,978,5092,3367,2649,458,368,505,11076,11064,11662,55382,46399,33029,1091,1174,1162,3691,1170,725,18,11,13,832,546,414,2690,3934,3321,308,207,138,797,1032,922,-,0,-,-,0,-,-,0,-
MALUKU UTARA,1061,735,797,247,196,222,1882,5645,7258,4686,7982,9460,627,265,350,650,712,707,2258,363,674,66,75,19,6457,4373,5231,1284,1104,1118,2535,1692,1965,700,614,468,2995,1818,1421,22810,8080,11847,5353,13171,7931,3743,1450,1321,4,13,8,357,283,288,987,416,544,175,56,66,452,1296,520,-,0,-,1,0,-,-,0,-
PAPUA BARAT,575,9400,1090,273,1410,145,1565,11563,1411,1425,6880,3504,979,26101,1332,383,1276,210,460,11325,970,135,1382,33,1276,12574,4032,13,7,44,811,7571,1240,302,1021,373,1901,38957,3250,113979,162789,104341,2319,8666,2369,966,5284,700,132,1076,35,303,1677,102,475,1762,342,118,434,210,389,1382,918,-,0,-,-,0,3,-,1,9
PAPUA,908,192,347,295,70,116,253,158,168,491,485,650,697,518,479,511,73,105,32035,15190,34248,77,25,72,7444,735,1774,11,21,6,1618,436,1119,149,79,217,5355,2262,2122,15167,5233,11965,537,552,679,129,145,329,68,26,71,231,134,396,447,155,421,1850,2736,2965,4664,4306,6570,-,0,-,1,0,1,-,0,11
INDONESIA,669260,865780,874046,137450,128632,119758,250355,205260,209071,1353037,1582172,1852045,422491,472686,404654,206423,237565,233575,2401064,2551999,2831099,112797,132979,92250,2835442,3308895,3302620,303934,343663,397175,906514,813756,789200,2886417,3203775,3156576,1168266,1089578,1238692,8741147,9245427,9335232,884702,855162,845107,1120242,1147473,1120739,169711,167440,179706,158926,142390,140405,172373,165032,156626,129147,118696,117794,414242,367816,408115,509544,523596,392563,12164,13516,13405,9860,28895,27721
